案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091503993, 111/09/15 00:00,中山巡1110905842,中山區建國北路3段往北過民權東路30公尺,縱向及橫向裂縫,觀察
111091503996, 111/09/15 00:00,中山巡1110905843,中山區建國北路3段往北過民權東路60公尺,縱向及橫向裂縫,觀察
111091503998, 111/09/15 00:00,中山巡1110905844,中山區建國北路3段往北過民權東路50公尺,溝蓋路邊緣石,觀察
111091504001, 111/09/15 00:00,中山巡1110905613,中山區崇實路127號,龜裂,觀察
111091504012, 111/09/15 00:00,中山巡1110905619,中山區崇實路135號,龜裂,觀察
111091504014, 111/09/15 00:00,中山巡1110905620,中山區民族東路22號,龜裂,觀察
111091504020, 111/09/15 00:00,中山巡1110905623,中山區民族西路15號,龜裂,觀察
111091504030, 111/09/15 00:00,中山巡1110905736,中山區八德路2段210巷67號,縱向及橫向裂縫,觀察
111091504032, 111/09/15 00:00,中山巡1110905737,中山區八德路2段210巷65號,鋪面鬆動,觀察
111091504043, 111/09/15 00:00,中山巡1110905845,中山區建國北路3段往北過民權東路70公尺,側溝蓋破損,觀察
111091504045, 111/09/15 00:00,中山巡1110905846,中山區建國北路3段往北過民權東路75公尺,溝蓋路邊緣石,觀察
111091504047, 111/09/15 00:00,中山巡1110905847,中山區樂群二路266巷80號,龜裂,觀察
111091504050, 111/09/15 00:00,中山巡1110905848,中山區樂群二路266巷28號,龜裂,觀察
111091504053, 111/09/15 00:00,中山巡1110905849,中山區樂群三路218-8號,龜裂,觀察
111091504059, 111/09/15 00:00,中山巡1110905851,中山區樂群三路111號,龜裂,觀察
111091504064, 111/09/15 00:00,中山巡1110905624,中山區通北街31號,龜裂,觀察
111091504067, 111/09/15 00:00,中山巡1110905625,中山區通北街65號,龜裂,觀察
111091504069, 111/09/15 00:00,中山巡1110905626,中山區北安路380號,龜裂,觀察
111091504074, 111/09/15 00:00,中山巡1110905628,中山區中山北路4段1號,龜裂,觀察
111091504077, 111/09/15 00:00,中山巡1110905629,中山區中山北路4段1號,龜裂,觀察
111091504090, 111/09/15 00:00,中山巡1110905742,中山區市民大道3段169號,側溝蓋破損,觀察
111091504102, 111/09/15 00:00,中山巡1110905746,中山區八德路2段210巷4號,鋪面鬆動,觀察
111091504109, 111/09/15 00:00,中山巡1110905855,中山區北安路630巷8號,龜裂,觀察
111091504114, 111/09/15 00:00,中山巡1110905858,中山區敬業一路128巷1號,龜裂,觀察
111091504119, 111/09/15 00:00,中山巡1110905860,中山區敬業二路128號,龜裂,觀察
111091504124, 111/09/15 00:00,中山巡1110905862,中山區敬業二路69巷5號,龜裂,觀察
111091504127, 111/09/15 00:00,中山巡1110905633,中山區北安路47號,龜裂,觀察
111091504132, 111/09/15 00:00,中山巡1110905635,中山區北安路111號,龜裂,觀察
111091504139, 111/09/15 00:00,中山巡1110905639,中山區北安路458巷47弄4號,龜裂,觀察
111091504141, 111/09/15 00:00,中山巡1110905640,中山區北安路458巷41弄3號,龜裂,觀察
111091504143, 111/09/15 00:00,中山巡1110905641,中山區北安路518巷5-1號,龜裂,觀察
111091504145, 111/09/15 00:00,中山巡1110905642,中山區北安路458巷41弄44號,龜裂,觀察
111091504154, 111/09/15 00:00,中山巡1110905749,中山區八德路2段174巷13號,鋪面破損,觀察
111091504169, 111/09/15 00:00,中山巡1110905864,中山區敬業二路36號,龜裂,觀察
111091504171, 111/09/15 00:00,中山巡1110905865,中山區樂群二路30巷1號,龜裂,觀察
111091504174, 111/09/15 00:00,中山巡1110905866,中山區敬業一路11號,龜裂,觀察
111091504190, 111/09/15 00:00,中山巡1110905644,中山區北安路458巷51弄24號,龜裂,觀察
111091504195, 111/09/15 00:00,中山巡1110905646,中山區明水路397巷20號,龜裂,觀察
111091504201, 111/09/15 00:00,中山巡1110905648,中山區明水路397巷19弄16號,龜裂,觀察
111091504204, 111/09/15 00:00,中山巡1110905649,中山區明水路397巷19弄26號,龜裂,觀察
111091504207, 111/09/15 00:00,中山巡1110905650,中山區八德路2段149號對面,鋪面破損,觀察
111091504208, 111/09/15 00:00,中山巡1110905753,中山區市民大道3段89號,鋪面破損,觀察
111091504211, 111/09/15 00:00,中山巡1110905754,中山區市民大道3段91號,鋪面破損,觀察
111091504222, 111/09/15 00:00,中山巡1110905757,中山區市民大道3段83號,縱向及橫向裂縫,觀察
111091504224, 111/09/15 00:00,中山巡1110905758,中山區市民大道3段81號,鋪面破損,觀察
111091504234, 111/09/15 00:00,中山巡1110905873,中山區植福路8號,龜裂,觀察
111091504239, 111/09/15 00:00,中山巡1110905875,中山區敬業三路11號,龜裂,觀察
111091504241, 111/09/15 00:00,中山巡1110905876,中山區敬業三路11號,龜裂,觀察
111091504246, 111/09/15 00:00,中山巡1110905878,中山區敬業三路123號,龜裂,觀察
111091504264, 111/09/15 00:00,中山巡1110905655,中山區八德路2段174巷10弄7號,側溝蓋破損,觀察
111091504266, 111/09/15 00:00,中山巡1110905656,中山區八德路2段174巷24弄17號,縱向及橫向裂縫,觀察
111091504268, 111/09/15 00:00,中山巡1110905657,中山區八德路2段174巷24弄9號,縱向及橫向裂縫,觀察
111091504280, 111/09/15 00:00,中山巡1110905762,中山區八德路2段312巷9號,縱向及橫向裂縫,觀察
111091504283, 111/09/15 00:00,中山巡1110905763,中山區八德路2段312巷9號,縱向及橫向裂縫,觀察
